seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k127_13577	1722	No terminal repeats	2	11	0.4794	NA	0	0.0000	NA	NA
k127_2509	434	No terminal repeats	2	11	0.4769	NA	0	0.0000	NA	NA
k127_13135	323	No terminal repeats	1	11	0.4688	NA	0	0.4712	NA	NA
k127_12654	284	No terminal repeats	2	11	0.4595	NA	0	0.0000	NA	NA
k127_15673	301	No terminal repeats	1	11	0.4539	NA	0	0.0000	NA	NA
k127_6224	763	No terminal repeats	2	11	0.4531	NA	0	0.0000	NA	NA
k127_2022	293	No terminal repeats	1	11	0.4481	NA	0	0.0000	NA	NA
k127_2378	491	No terminal repeats	2	11	0.4427	NA	0	0.0000	NA	NA
k127_8073	293	No terminal repeats	1	4	0.4340	NA	0	0.0000	NA	NA
k127_4573	1235	No terminal repeats	4	11	0.4326	NA	0	0.0000	NA	NA
k127_9335	294	No terminal repeats	1	11	0.4318	NA	0	0.0000	NA	NA
k127_33	301	No terminal repeats	1	11	0.4315	NA	0	0.0000	NA	NA
k127_10113	243	No terminal repeats	2	11	0.4300	NA	0	0.0000	NA	NA
k127_8890	300	No terminal repeats	1	11	0.4283	NA	0	0.0000	NA	NA
k127_15417	291	No terminal repeats	2	11	0.4283	NA	0	0.0000	NA	NA
k127_3555	295	No terminal repeats	2	11	0.4282	NA	0	0.0000	NA	NA
k127_4040	301	No terminal repeats	2	11	0.4253	NA	0	0.0000	NA	NA
k127_14030	299	No terminal repeats	1	11	0.4251	NA	0	0.0000	NA	NA
k127_137	301	No terminal repeats	1	11	0.4239	NA	0	0.0000	NA	NA
k127_10643	301	No terminal repeats	1	11	0.4221	NA	0	0.0000	NA	NA
k127_8425	299	No terminal repeats	1	11	0.4218	NA	0	0.0000	NA	NA
k127_12434	1130	No terminal repeats	3	11	0.4213	NA	0	0.0000	NA	NA
k127_3874	301	No terminal repeats	1	11	0.4203	NA	0	0.0000	NA	NA
k127_8848	752	No terminal repeats	1	11	0.4186	NA	0	0.0000	NA	NA
k127_4852	311	No terminal repeats	1	11	0.4184	NA	0	0.0000	NA	NA
k127_4007	296	No terminal repeats	1	11	0.4165	NA	0	0.0000	NA	NA
k127_3247	299	No terminal repeats	2	11	0.4145	NA	0	0.0000	NA	NA
k127_5985	254	No terminal repeats	1	11	0.4122	NA	0	0.0000	NA	NA
k127_10112	253	No terminal repeats	1	11	0.4117	NA	0	0.0000	NA	NA
k127_7967	301	No terminal repeats	2	11	0.4097	NA	0	0.0000	NA	NA
k127_4309	298	No terminal repeats	1	11	0.4084	NA	0	0.0000	NA	NA
k127_5958	290	No terminal repeats	1	11	0.4069	NA	0	0.0000	NA	NA
k127_673	301	No terminal repeats	1	11	0.4062	NA	0	0.0000	NA	NA
k127_12900	297	No terminal repeats	1	11	0.4054	NA	0	0.0000	NA	NA
k127_358	301	No terminal repeats	2	11	0.4046	NA	0	0.0000	NA	NA
k127_816	301	No terminal repeats	2	11	0.4017	NA	0	0.0000	NA	NA
k127_9475	301	No terminal repeats	1	11	0.3988	NA	0	0.0000	NA	NA
k127_1231	299	No terminal repeats	2	11	0.3987	NA	0	0.0000	NA	NA
k127_3733	300	No terminal repeats	2	11	0.3965	NA	0	0.0000	NA	NA
k127_3514	545	No terminal repeats	1	11	0.3946	NA	0	0.0000	NA	NA
k127_1288	293	No terminal repeats	1	11	0.3933	NA	0	0.0000	NA	NA
k127_4705	299	No terminal repeats	1	11	0.3931	NA	0	0.0000	NA	NA
k127_3951	276	No terminal repeats	2	11	0.3891	NA	0	0.0000	NA	NA
k127_14767	421	No terminal repeats	1	11	0.3883	NA	0	0.0000	NA	NA
k127_12174	300	No terminal repeats	1	11	0.3866	NA	0	0.0000	NA	NA
k127_5679	1129	No terminal repeats	2	11	0.3857	NA	0	0.0000	NA	NA
k127_2670	296	No terminal repeats	1	11	0.3822	NA	0	0.0000	NA	NA
k127_2629	321	No terminal repeats	2	11	0.3814	NA	0	0.0000	NA	NA
k127_4150	296	No terminal repeats	1	11	0.3804	NA	0	0.0000	NA	NA
k127_1194	525	No terminal repeats	1	11	0.3787	NA	0	0.0000	NA	NA
k127_1298	293	No terminal repeats	1	11	0.3764	NA	0	0.0000	NA	NA
k127_3219	300	No terminal repeats	1	11	0.3756	NA	0	0.0000	NA	NA
k127_5453	292	No terminal repeats	1	11	0.3720	NA	0	0.0000	NA	NA
k127_7152	301	No terminal repeats	1	11	0.3702	NA	0	0.0000	NA	NA
k127_15155	313	No terminal repeats	2	11	0.3692	NA	0	0.0000	NA	NA
k127_4062	756	No terminal repeats	2	11	0.3674	NA	0	0.0000	NA	NA
k127_6126	1505	No terminal repeats	3	11	0.3671	NA	0	0.0000	NA	NA
k127_9694	499	No terminal repeats	2	11	0.3666	NA	0	0.0000	NA	NA
k127_9091	301	No terminal repeats	2	11	0.3635	NA	0	0.0000	NA	NA
k127_15688	293	No terminal repeats	2	11	0.3566	NA	0	0.0000	NA	NA
k127_12451	294	No terminal repeats	1	11	0.3560	NA	0	0.0000	NA	NA
k127_3135	681	DTR	2	11	0.3481	NA	0	0.0000	NA	NA
k127_14363	455	No terminal repeats	2	11	0.3465	NA	0	0.0000	NA	NA
