seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k127_13760	309	No terminal repeats	NA	1	11	0.9697	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_38905	549	No terminal repeats	NA	1	11	0.9697	NA	0	1.7183	Unclassified
k127_43821	301	No terminal repeats	NA	1	11	0.9695	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_21703	297	No terminal repeats	NA	1	11	0.9694	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41725	299	No terminal repeats	NA	1	11	0.9694	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_36024	369	No terminal repeats	NA	1	11	0.9692	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16755	1020	No terminal repeats	NA	2	11	0.9692	NA	0	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11294	909	No terminal repeats	NA	3	11	0.9692	NA	0	4.5992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_37710	301	No terminal repeats	NA	1	11	0.9691	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4560	380	No terminal repeats	NA	1	11	0.9691	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_20066	301	No terminal repeats	NA	1	11	0.9691	NA	1	1.4720	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43225	439	No terminal repeats	NA	2	11	0.9691	NA	0	3.1799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31323	301	No terminal repeats	NA	1	11	0.9691	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_16810	639	No terminal repeats	NA	1	11	0.9690	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11959	298	No terminal repeats	NA	1	11	0.9690	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11617	434	No terminal repeats	NA	1	11	0.9690	NA	0	1.7183	Unclassified
k127_4950	523	No terminal repeats	NA	1	11	0.9690	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_20388	300	No terminal repeats	NA	2	11	0.9689	NA	1	3.0753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_20249	289	No terminal repeats	NA	1	11	0.9689	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_42741	444	No terminal repeats	NA	1	11	0.9689	NA	1	1.4728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22468	301	No terminal repeats	NA	1	11	0.9689	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1187	524	No terminal repeats	NA	1	11	0.9689	NA	0	1.7183	Unclassified
k127_40907	2031	No terminal repeats	NA	3	11	0.9688	NA	0	3.9146	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_24476	250	No terminal repeats	NA	1	11	0.9688	NA	0	1.7183	Unclassified
k127_28711	301	No terminal repeats	NA	1	11	0.9688	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_4674	323	No terminal repeats	NA	2	11	0.9688	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6078	301	No terminal repeats	NA	1	11	0.9687	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34252	301	No terminal repeats	NA	1	11	0.9687	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_12321	295	No terminal repeats	NA	2	11	0.9687	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3159	281	No terminal repeats	NA	1	11	0.9687	NA	0	1.7183	Unclassified
k127_5131	301	No terminal repeats	NA	1	11	0.9687	NA	0	1.7183	Unclassified
k127_16379	295	No terminal repeats	NA	1	11	0.9686	NA	0	1.4608	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_23605	300	No terminal repeats	NA	1	11	0.9686	NA	0	1.4803	Unclassified
k127_27295	506	No terminal repeats	NA	1	11	0.9685	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22510	299	No terminal repeats	NA	1	11	0.9685	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15603	301	No terminal repeats	NA	1	11	0.9685	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_42083	443	No terminal repeats	NA	1	11	0.9685	NA	1	1.7183	Unclassified
k127_36922	791	No terminal repeats	NA	2	11	0.9684	NA	1	3.2135	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_10932	301	No terminal repeats	NA	1	11	0.9684	NA	0	1.5906	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27497	501	No terminal repeats	NA	1	11	0.9684	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7903	237	No terminal repeats	NA	1	11	0.9684	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_488	287	No terminal repeats	NA	1	11	0.9683	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27771	301	No terminal repeats	NA	1	11	0.9683	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3531	763	No terminal repeats	NA	3	11	0.9683	NA	0	3.0024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44295	301	No terminal repeats	NA	1	11	0.9683	NA	0	1.5361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31831	296	No terminal repeats	NA	1	11	0.9683	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_24563	282	No terminal repeats	NA	1	11	0.9682	NA	0	1.5477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6665	298	No terminal repeats	NA	1	11	0.9681	NA	0	1.7183	Unclassified
k127_8094	353	No terminal repeats	NA	1	11	0.9681	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_23132	300	No terminal repeats	NA	1	11	0.9681	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_42675	439	No terminal repeats	NA	1	11	0.9680	NA	0	1.7183	Unclassified
k127_40283	301	No terminal repeats	NA	1	11	0.9680	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_39754	300	No terminal repeats	NA	1	11	0.9680	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6757	427	No terminal repeats	NA	1	11	0.9680	NA	1	1.5970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_13666	298	No terminal repeats	NA	1	11	0.9680	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1248	293	No terminal repeats	NA	1	11	0.9680	NA	0	1.5019	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_3490	288	No terminal repeats	NA	1	11	0.9679	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34863	553	No terminal repeats	NA	1	11	0.9678	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_24602	478	No terminal repeats	NA	1	11	0.9678	NA	0	1.4697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_38278	301	No terminal repeats	NA	1	11	0.9678	NA	1	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_29014	608	No terminal repeats	NA	1	11	0.9677	NA	0	1.7183	Unclassified
k127_13630	301	No terminal repeats	NA	1	11	0.9677	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1232	297	No terminal repeats	NA	1	11	0.9676	NA	1	1.5330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_35650	228	No terminal repeats	NA	1	11	0.9676	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7873	292	No terminal repeats	NA	1	11	0.9675	NA	1	1.5216	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_36162	299	No terminal repeats	NA	1	11	0.9675	NA	0	1.7183	Unclassified
k127_2833	300	No terminal repeats	NA	1	11	0.9675	NA	0	1.7183	Unclassified
k127_10941	291	No terminal repeats	NA	1	11	0.9675	NA	0	1.7183	Unclassified
k127_18202	434	No terminal repeats	NA	1	11	0.9674	NA	0	1.7183	Unclassified
k127_44404	301	No terminal repeats	NA	1	11	0.9674	NA	0	1.7183	Unclassified
k127_2650	458	No terminal repeats	NA	1	11	0.9674	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22372	283	No terminal repeats	NA	1	11	0.9673	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31103	300	No terminal repeats	NA	1	11	0.9673	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_21370	509	No terminal repeats	NA	1	11	0.9673	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31629	301	No terminal repeats	NA	1	11	0.9673	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34021	301	No terminal repeats	NA	1	11	0.9672	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_14381	297	No terminal repeats	NA	1	11	0.9672	NA	1	1.4840	Unclassified
k127_19799	301	No terminal repeats	NA	1	11	0.9672	NA	0	1.7183	Unclassified
k127_42388	406	No terminal repeats	NA	1	11	0.9671	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_12824	301	No terminal repeats	NA	1	11	0.9671	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_19589	301	No terminal repeats	NA	1	11	0.9671	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_24993	301	No terminal repeats	NA	1	11	0.9671	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34835	294	No terminal repeats	NA	1	11	0.9671	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_33116	596	No terminal repeats	NA	1	11	0.9670	NA	0	1.7183	Unclassified
k127_4809	301	No terminal repeats	NA	1	11	0.9669	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22335	405	No terminal repeats	NA	1	11	0.9669	NA	0	1.7183	Unclassified
k127_20486	300	No terminal repeats	NA	1	11	0.9668	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_5875	757	No terminal repeats	NA	1	11	0.9668	NA	1	1.4785	Unclassified
k127_6202	488	No terminal repeats	NA	2	11	0.9667	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_41555	405	No terminal repeats	NA	1	11	0.9667	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7895	298	No terminal repeats	NA	1	11	0.9666	NA	0	1.7183	Unclassified
k127_11991	300	No terminal repeats	NA	1	11	0.9666	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_31681	450	No terminal repeats	NA	1	11	0.9666	NA	0	1.7183	Unclassified
k127_13070	245	No terminal repeats	NA	1	11	0.9666	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_12353	301	No terminal repeats	NA	1	11	0.9666	NA	0	1.5280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_17688	557	No terminal repeats	NA	1	11	0.9665	NA	1	1.5240	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_7802	520	No terminal repeats	NA	1	11	0.9665	NA	0	1.4887	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_40208	288	No terminal repeats	NA	1	11	0.9665	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_11793	864	No terminal repeats	NA	2	11	0.9665	NA	0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales
k127_31127	369	No terminal repeats	NA	1	11	0.9664	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_9155	300	No terminal repeats	NA	1	11	0.9664	NA	0	1.4648	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44595	226	No terminal repeats	NA	1	11	0.9664	NA	0	1.4648	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_1820	301	No terminal repeats	NA	1	11	0.9664	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_39523	301	No terminal repeats	NA	1	11	0.9664	NA	0	1.7183	Unclassified
k127_32182	290	No terminal repeats	NA	1	11	0.9663	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27891	294	No terminal repeats	NA	1	11	0.9663	NA	1	1.7183	Unclassified
k127_26895	261	No terminal repeats	NA	1	11	0.9663	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_23834	462	No terminal repeats	NA	1	11	0.9663	NA	1	1.4684	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44248	407	No terminal repeats	NA	1	11	0.9663	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_25676	513	No terminal repeats	NA	1	11	0.9663	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15382	492	No terminal repeats	NA	1	11	0.9662	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_22630	360	No terminal repeats	NA	1	11	0.9661	NA	0	1.7183	Unclassified
k127_9798	371	No terminal repeats	NA	1	11	0.9661	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8385	280	No terminal repeats	NA	1	11	0.9661	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_28874	368	No terminal repeats	NA	1	11	0.9661	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_44284	301	No terminal repeats	NA	1	11	0.9660	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34724	393	No terminal repeats	NA	2	11	0.9660	NA	0	1.7183	Unclassified
k127_40192	300	No terminal repeats	NA	1	11	0.9660	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6998	501	No terminal repeats	NA	2	11	0.9660	NA	0	2.9241	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_37892	22984	No terminal repeats	NA	49	11	0.9659	NA	1	20.4574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_32330	296	No terminal repeats	NA	1	11	0.9659	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6638	300	No terminal repeats	NA	1	11	0.9659	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_597	301	No terminal repeats	NA	1	11	0.9658	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_15090	301	No terminal repeats	NA	1	11	0.9658	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_17930	298	No terminal repeats	NA	1	15	0.9658	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_23221	962	No terminal repeats	NA	2	11	0.9657	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_6842	410	No terminal repeats	NA	1	11	0.9657	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_30075	296	No terminal repeats	NA	1	11	0.9657	NA	0	1.5178	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_43148	521	No terminal repeats	NA	1	11	0.9657	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_34082	296	No terminal repeats	NA	1	11	0.9657	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_32739	301	No terminal repeats	NA	1	11	0.9657	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8341	459	No terminal repeats	NA	1	11	0.9656	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_36044	363	No terminal repeats	NA	1	11	0.9656	NA	1	1.4876	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_8534	294	No terminal repeats	NA	1	11	0.9656	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_35453	301	No terminal repeats	NA	1	11	0.9656	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_27353	294	No terminal repeats	NA	1	11	0.9656	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k127_2963	301	No terminal repeats	NA	1	11	0.9656	NA	0	1.7183	Unclassified
k127_25331	465	No terminal repeats	NA	1	15	0.9656	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
